Genome,Order,Family,Genus,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score,VC Orders,VC Families,VC Genera,Lifestyle
ind-DNK_MH0192_k99_103327,Industrial,Industrial,Industrial,preVC_1,Clustered,VC_1_4,2.0,0.0409,0.91204024,8.426149773176359,0.0373,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0192_k99_112007,Industrial,Industrial,Industrial,,Overlap (VC_18/VC_19),,,,,,,,,,,Lytic
ind-DNK_MH0192_k99_112008,Industrial,Industrial,Industrial,preVC_21,Clustered,VC_21_0,13.0,0.6863,1.0,3.1803653030299466,0.6863,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0192_k99_112019,Industrial,Industrial,Industrial,preVC_30,Clustered,VC_30_0,14.0,0.9329,0.99999995,1.942705099800532,0.9329,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0192_k99_59628,Industrial,Industrial,Industrial,,Overlap (VC_23/VC_32),,,,,,,,,,,Lytic
ind-DNK_MH0192_k99_61568_1,Industrial,Industrial,Industrial,preVC_37,Clustered,VC_37_0,14.0,0.6764,1.0,5.711411346920388,0.6764,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0192_k99_77989,Industrial,Industrial,Industrial,preVC_44,Clustered,VC_44_0,8.0,0.7596,1.0,3.4816064539762577,0.7596,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0192_k99_98772,Industrial,Industrial,Industrial,preVC_46,Clustered,VC_46_0,22.0,0.6138,1.0,6.074278555221193,0.6138,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0221_k99_20194_1,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Temperate
ind-DNK_MH0222_k99_123792,Industrial,Industrial,Industrial,preVC_89,Clustered,VC_89_0,4.0,0.9325,0.99500188,7.970828644530268,0.9279,1.0,1.0,1.0,1.0,Lytic
ind-DNK_MH0222_k99_125585_1,Industrial,Industrial,Industrial,preVC_94,Clustered,VC_94_0,14.0,0.7377,1.0,4.166279367711533,0.7377,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0222_k99_195078,Industrial,Industrial,Industrial,preVC_97,Clustered,VC_97_0,10.0,0.5139,1.0,4.875347006968521,0.5139,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0222_k99_195081,Industrial,Industrial,Industrial,preVC_101,Clustered,VC_101_0,32.0,0.9165,1.0,3.9767114765506895,0.9165,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0222_k99_195083,Industrial,Industrial,Industrial,preVC_107,Clustered,VC_107_0,2.0,0.509,0.87030869,1.4142135623730951,0.443,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0222_k99_195086,Industrial,Industrial,Industrial,preVC_110,Clustered,VC_110_0,14.0,0.6201,1.0,4.8315126426192245,0.6201,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0222_k99_2316,Industrial,Industrial,Industrial,preVC_118,Clustered,VC_118_0,19.0,0.804,1.0,6.437341114241534,0.804,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0222_k99_43865_1,Industrial,Industrial,Industrial,,Overlap (VC_107/VC_109),,,,,,,,,,,Temperate
ind-DNK_MH0222_k99_74955_1,Industrial,Industrial,Industrial,,Singleton,,,,,,,,,,,Temperate
ind-DNK_MH0222_k99_77358,Industrial,Industrial,Industrial,preVC_130,Clustered,VC_130_0,59.0,0.9075,1.0,4.227062096994467,0.9075,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0222_k99_89973_1,Industrial,Industrial,Industrial,preVC_135,Clustered,VC_135_0,8.0,0.1996,1.0,7.746016843723526,0.1996,0.9286,0.0,0.0,0.0,Temperate
ind-DNK_MH0234_k99_134500,Industrial,Industrial,Industrial,preVC_142,Clustered,VC_142_0,17.0,0.6949,1.0,5.66525437026348,0.6949,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0234_k99_134501,Industrial,Industrial,Industrial,preVC_154,Clustered,VC_154_0,6.0,0.4317,1.0,5.180929968157625,0.4317,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0234_k99_134505,Industrial,Industrial,Industrial,preVC_136,Clustered,VC_136_0,33.0,0.8906,1.0,4.124918548970179,0.8906,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0234_k99_17915_1,Industrial,Industrial,Industrial,preVC_170,Clustered,VC_170_0,34.0,0.987,1.0,2.8381666893289044,0.987,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0234_k99_85974,Industrial,Industrial,Industrial,preVC_16,Clustered,VC_16_3,11.0,0.2949,1.0,4.717514033230107,0.2949,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0238_k99_102671_1,Industrial,Industrial,Industrial,preVC_170,Clustered,VC_170_0,34.0,0.987,1.0,2.8381666893289044,0.987,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0238_k99_28907_1,Industrial,Industrial,Industrial,preVC_155,Clustered,VC_155_0,2.0,0.0467,0.91126023,5.0,0.0426,1.0,0.0,0.0,0.0,Temperate
ind-DNK_MH0238_k99_76593,Industrial,Industrial,Industrial,preVC_177,Clustered,VC_177_5,12.0,0.1548,1.0,6.364897189917397,0.1548,0.9394,0.0,0.0,0.0,Lytic
ind-DNK_MH0245_k99_154459,Industrial,Industrial,Industrial,preVC_184,Clustered,VC_184_0,42.0,0.8932,1.0,1.1402171316751837,0.8932,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0245_k99_166441,Industrial,Industrial,Industrial,,Overlap (VC_189/VC_191),,,,,,,,,,,Lytic
ind-DNK_MH0245_k99_186664,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Lytic
ind-DNK_MH0245_k99_186668,Industrial,Industrial,Industrial,,Outlier,,,,,,,,,,,Lytic
ind-DNK_MH0245_k99_99590,Industrial,Industrial,Industrial,preVC_197,Clustered,VC_197_0,7.0,0.615,1.0,2.384080712109538,0.615,1.0,0.0,0.0,0.0,Lytic
ind-DNK_MH0246_k99_48356,Industrial,Industrial,Industrial,preVC_130,Clustered,VC_130_0,59.0,0.9075,1.0,4.227062096994467,0.9075,1.0,1.0,1.0,0.0,Lytic
ind-DNK_MH0246_k99_57437,Industrial,Industrial,Industrial,preVC_96,Clustered,VC_96_0,40.0,0.8309,1.0,4.911738881642996,0.8309,1.0,0.0,0.0,0.0,Lytic
